Book,Position ID,CUSIP,Sub Type,PRODUCT_CODE_2052a_Collateral_Class,Issuer,Current Factor,Coupon,Maturity Date,Nominal,CA_NOTIONAL,TOTAL_PAYDOWN_BOOK_VALUE,MTB_BOOK VALUE (Clean),PV_NET (MV Clean),MTB_BOOK PRICE (Clean),PRICE (Mkt),NPV_DISC (Clean MTM),Curve Date,Prepay Model,Prepay Rate,Vol Model,Curve Type,Forward Yield,Prospective Yield,Effective Duration,Effective Convexity,Effective DV01,Dollar Duration,1YR,2YR,3YR,5YR,10YR,20YR,30YR,Average Life,LT CPR,OAS,Z-Spread,Factor,Life CPR,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,Eff. Dur,DV01,Dollar Return,Eff. Dur.1,DV01.1,Dollar Return.1,Eff. Dur.2,DV01.2,Dollar Return.2,Eff. Dur.3,DV01.3,Dollar Return.3,Eff. Dur.4,DV01.4,Dollar Return.4,Eff. Dur.5,DV01.5,Dollar Return.5
233_PUB_HTM,611349,343334GJ1,MUNI,IG-2,FLOSSMOOR IL,,3.5,12/1/2033,460000," 460,000 ", -   ,460000,457538.03,100,99.46479," (2,461.97)",,,,,,3.58193,3.499974,2.189652205,-3.222009659,0.022158261,101.9280006,0.3059,0.1947,0.2136,0.957,0.7207,0,0,2.2177,,-119.9292,-39.367104,,,,,,,,0.1282,0.001313943,1.26278897,0.1301,0.001331192,1.13124659,0.1304,0.001332204,0.99776566,1.5321,0.015570686,0.43137164,4.5735,0.044992253,-2.81902285,5.5593,0.051936332,-7.77231699
233_PUB_HTM,612339,343334GK8,MUNI,IG-2,FLOSSMOOR IL,,3.5,12/1/2034,475000," 475,000 ", -   ,475000,474982.24,100,99.99626, (17.76),,,,,,3.500489,3.499977,1.153924704,-2.99377203,0.011738509,55.75791775,0.2262,0.0664,0.0719,0.3131,0.4543,0,0,0.872,,-171.3691,-51.167108,,,,,,,,0.1286,0.001318261,0.79981496,0.1304,0.001335545,0.66784132,0.1307,0.001336538,0.53392504,0.6903,0.00703853,0.23294894,4.2456,0.042226542,-2.26723944,5.8021,0.05480925,-7.26172849
233_PUB_HTM,612176,344664KD8,MUNI,IG-2,FONTANA ON GENEVA LAKE WI,1,4,3/1/2032,275000," 275,000 ", -   ,275000,275191.18,100,100.06952, 191.18 ,,,,,,3.984081,3.998942,0.450442255,-1.527507782,0.004551597,12.51689175,0.1395,0.0351,0.0495,0.1569,0.0119,0,0,0.32,,-114.2931,-47.469436,,,,,,,,0.045,0.000456499,0.42848775,0.0798,0.000809544,0.37650936,0.0893,0.000905134,0.28583861,0.1471,0.001488439,0.10543743,1.9465,0.019528493,-0.7217258,3.4785,0.033911683,-3.55882141
233_PUB_HTM,611312,345850DP3,MUNI,IG-2,FOREST LAKE MN,1,3.25,2/1/2034,1105000," 1,105,000 ", -   ,1105000,1105016.13,100,100.00146, 16.13 ,,,,,,3.249305,3.249534,0.86147207,-2.365402222,0.008706617,96.20811785,0.1973,0.0696,0.0764,0.3307,0.2026,0,0,0.7509,,-195.706,-71.780155,,,,,,,,0.0452,0.000458813,0.50412272,0.0801,0.000813629,0.45188148,0.0897,0.00090968,0.36075425,0.3224,0.003263457,0.16082046,3.1856,0.031722199,-1.48657521,4.8798,0.046598569,-5.57461301
233_PUB_HTM,611506,347550NE1,MUNI,IG-2,FORT LAUDERDALE FL,,2.5,7/1/2037,2735000," 2,735,000 ", -   ,2505179.22,2302259.82,91.597,84.17769," (202,919.40)",,,,,,4.309669,3.416585,8.720541,0.519502699,0.074303783,2032.208465,-0.0105,-0.0221,0.0282,0.1731,7.6297,0.9066,0,9.6076,,9.1655,19.324655,,,,,,,,2.9881,0.032955371,25.0816184,4.18,0.044622093,21.54714611,7.0592,0.071173303,15.61743848,8.8522,0.075622849,0.22283811,8.9462,0.069905646,-7.06569713,8.8796,0.063467532,-13.73002647
233_PUB_HTM,611732,347550NF8,MUNI,IG-2,FORT LAUDERDALE FL,,2.5,7/1/2038,2805000," 2,805,000 ", -   ,2600654.14,2303813.26,92.7149,82.13238,-296840.89,,,,,,4.424008,3.232678,9.416749001,0.680661201,0.078309834,2196.590844,-0.01,-0.0213,0.0023,0.0986,7.4358,1.9174,0,10.5024,,17.801,26.972118,,,,,,,,2.988,0.032869119,26.8439056,4.6352,0.049283426,23.16346874,7.8774,0.078543447,16.54698759,9.5836,0.079716183,0.01953395,9.6004,0.072536968,-7.60389994,9.5045,0.065264441,-14.49319804
233_PUB_HTM,612008,347550PL3,MUNI,IG-2,FORT LAUDERDALE FL,,2.5,7/1/2037,1010000," 1,010,000 ", -   ,925130.17,850194.67,91.597,84.17769," (74,935.50)",,,,,,4.309669,3.416585,8.720541,0.519502699,0.074303783,750.4682083,-0.0105,-0.0221,0.0282,0.1731,7.6297,0.9066,0,9.6076,,9.1655,19.324655,,,,,,,,2.9881,0.032955371,25.0816184,4.18,0.044622093,21.54714611,7.0592,0.071173303,15.61743848,8.8522,0.075622849,0.22283811,8.9462,0.069905646,-7.06569713,8.8796,0.063467532,-13.73002647
233_PUB_HTM,611733,347550PM1,MUNI,IG-2,FORT LAUDERDALE FL,,2.5,7/1/2038,3450000," 3,450,000 ", -   ,3198665.52,2833567.11,92.7149,82.13238," (365,098.41)",,,,,,4.424008,3.232678,9.416749001,0.680661201,0.078309834,2701.689273,-0.01,-0.0213,0.0023,0.0986,7.4358,1.9174,0,10.5024,,17.801,26.972118,,,,,,,,2.988,0.032869119,26.8439056,4.6352,0.049283426,23.16346874,7.8774,0.078543447,16.54698759,9.5836,0.079716183,0.01953395,9.6004,0.072536968,-7.60389994,9.5045,0.065264441,-14.49319804
233_PUB_HTM,611231,349426AS5,MUNI,IG-2,FORT WORTH TX,,3,3/1/2036,2000000," 2,000,000 ", -   ,2012446.63,1877796,100.6223,93.8898," (134,650.63)",,,,,,3.753346,2.925889,6.288125038,-0.721667409,0.05950021,1190.0042,0.0258,0.2173,0.2746,0.8715,4.8801,0,0,6.1194,,-73.203,-30.703594,,,,,,,,1.6278,0.017658331,13.8593962,1.7175,0.018329052,12.09781543,2.5734,0.026927287,10.01486248,6.4635,0.061555117,0.61130606,7.2211,0.064175852,-5.75049265,7.5434,0.062255006,-12.09391235
233_PUB_HTM,611742,35005RAS0,MUNI,IG-2,FOSTER CITY CA,,2,8/1/2037,2645000," 2,645,000 ", -   ,2320969,2144949,87.7493,81.09448," (176,020.00)",,,,,,4.129273,3.321303,9.104857445,0.638863027,0.074432246,1968.732907,-0.017,-0.0228,-0.0216,0.024,8.0764,1.0627,0,9.5762,,-10.6433,0.492678,,,,,,,,1.0977,0.01141084,22.19985379,2.4704,0.025349479,20.86084789,7.2789,0.070950724,15.72481746,9.2293,0.075596355,0.15873169,9.2865,0.069324955,-7.09844271,9.2181,0.062723376,-13.70637981
